Geno.id	T1
WD0597	12.98
WD0613	14.57
WD0614	11.35
WD0615	10.64
WD0616	13.83
WD0617	11.16
WD0618	15.17
WD0619	10.2
WD0620	33
WD0621	12.49
WD0623	11.58
WD0624	12.13
WD0625	12.79
WD0626	13.4
WD0627	16.46
WD0628	12.13
WD0630	11.35
WD0631	14.16
WD0632	12.6
WD0633	10.98
WD0634	11.56
WD0635	12.68
WD0636	12.5
WD0637	10.59
WD0638	15.51
WD0639	13.94
WD0641	13.41
WD0642	9.53
WD0643	11.9
WD0644	10.46
WD0645	10.01
WD0647	11.37
WD0648	10.38
WD0649	11.25
WD0650	11.88
WD0651	12.6
WD0652	12.17
WD0654	12.49
WD0655	10.06
WD0658	11.35
WD0659	13.77
WD0660	9.84
WD0661	11.69
WD0662	11.86
WD0663	33
WD0664	10.98
WD0665	9.95
WD0666	12.27
WD0667	12.13
WD0668	10.94
WD0669	10.83
WD0670	11.78
WD0671	13.68
WD0672	10.64
WD0673	12.64
WD0674	12.29
WD0675	11.53
WD0676	12.91
WD0677	9.8
WD0678	13.41
WD0679	13.5
WD0680	13.18
WD0681	15.09
WD0682	11.28
WD0683	13.31
WD0685	16.6
WD0686	12.26
WD0688	11.32
WD0689	17.39
WD0690	12.89
WD0691	13.3
WD0692	11.78
WD0693	9.23
WD0694	13.17
WD0695	8.16
WD0697	9.65
WD0698	9.32
WD0699	10.85
WD0700	9.36
WD0702	8.39
WD0703	7.53
WD0704	11.56
WD0705	12.18
WD0706	9.78
WD0708	11.48
WD0710	11.2
WD0711	7.86
WD0712	10.1
WD0713	13.67
WD0714	10.7
WD0716	9.27
WD0717	10.14
WD0718	10.7
WD0719	12.44
WD0720	8.51
WD0721	8.83
WD0722	8.77
WD0724	10.66
WD0725	33
WD0726	7.85
WD0727	21
WD0728	10.35
WD0729	12.26
WD0730	11.9
WD0731	11.19
WD0732	9.33
WD0733	9.03
WD0734	11.05
WD0736	9.67
WD0738	11.55
WD0739	9.4
WD0740	9.08
WD0741	14.19
WD0742	10.56
WD0743	14.6
WD0744	14.3
WD0745	9.83
WD0746	9.7
WD0747	10.33
WD0748	8.03
WD0749	11.46
WD0750	12.08
WD0751	9.35
WD0752	7.57
WD0753	8.57
WD0754	7.39
WD0755	10.07
WD0756	11.04
WD0757	11.25
WD0758	8.07
WD0759	12.96
WD0760	12.73
WD0762	13.23
WD0763	11.8
WD0764	10.86
WD0766	9.94
WD0767	14
WD0768	10.43
WD0769	13.6
WD0770	9.97
WD0771	7.27
WD0772	11.45
WD0773	11.97
WD0774	7.7
WD0775	13.71
WD0777	12.12
WD0778	13.8
WD0779	11.74
WD0780	8.93
WD0781	11.67
WD0782	11.35
WD0783	10.94
WD0784	14.91
WD0785	11.26
WD0786	11.62
WD0787	11.58
WD0788	11.73
WD0789	13.82
WD0790	10.88
WD0791	14.77
WD0792	12.54
WD0793	11.01
WD0794	9.34
WD0795	10.75
WD0796	8.89
WD0797	9.3
WD0798	11.91
WD0799	10.69
WD0800	12.3
WD0801	10.05
WD0802	13.78
WD0803	32
WD0804	11.17
WD0805	10.58
WD0806	12.68
WD0807	14.63
WD0808	11.3
WD0809	12.42
WD0810	10.94
WD0812	10.76
WD0814	15.13
WD0815	12.21
WD0816	12.15
WD0817	8.91
WD0818	17.21
WD0819	10.75
WD0820	10.78
WD0821	16.54
WD0822	9.6
WD0823	11.89
WD0824	12.67
WD0827	12.98
WD0828	9.85
WD0829	11.92
WD0830	13.76
WD0831	12.79
WD0832	12.21
WD0833	12.77
WD0834	6.52
WD0835	10.79
WD0836	13.97
WD0837	13.82
WD0838	11.75
WD0839	11.08
WD0840	13.1
WD0841	11.12
WD0843	NA
WD0844	15.56
WD0845	10.88
WD0847	9.75
WD0848	11.11
WD0850	13.99
WD0851	12.21
WD0852	9.08
WD0854	14.66
WD0855	22
WD0856	12.78
WD0857	15.12
WD0858	12.84
WD0860	11.51
WD0861	13.04
WD0862	12.71
WD0863	12.5
WD0864	17.25
WD0865	13.96
WD0868	10.63
WD0869	12.85
WD0870	11.82
WD0872	NA
WD0873	13.37
WD0874	11.23
WD0875	NA
WD0876	16.48
WD0877	13.83
WD0878	15.39
WD0879	NA
WD0885	12.06
WD0889	10.84
WD0891	12.57
WD0892	12.86
WD0893	14.88
WD0895	14.47
WD0896	13.47
WD0897	11.11
WD0898	15.56
WD0900	17.74
WD0901	NA
WD0903	13.55
WD0904	14.03
WD0905	10.69
WD0906	10.65
WD0907	13.6
WD0908	14.86
WD0909	10.38
WD0910	13.93
WD0911	12.32
WD0912	14.18
WD0913	11.6
WD0914	12.54
WD0915	11.44
WD0916	14.38
WD0917	10.55
WD0918	10.14
WD0919	12.25
WD0920	9.7
WD0921	10.74
WD0924	12.63
WD0925	10.8
WD0926	13.17
WD0927	11.6
WD0928	12.12
WD0929	12.51
WD0930	10.82
WD0931	12.26
WD0932	9.18
WD0933	9.65
WD0934	8.75
WD0935	11.09
WD0936	9.6
WD0938	11.09
WD0939	11.25
WD0941	7.31
WD0942	12.79
WD0943	11.06
WD0944	7.58
WD0945	10.74
WD0947	11.42
WD0948	10.06
WD0949	11.04
WD0951	9.01
WD0952	9.8
WD0954	10.17
WD0955	9.5
WD0956	9.63
WD0957	13.59
WD0958	11.65
WD0959	9.72
WD0960	9.94
WD0962	12.47
WD0963	13.52
WD0964	14.46
WD0965	11.34
WD0966	11.11
WD0967	9.1
WD0968	12.78
WD0969	7.21
WD0971	9.54
WD0972	8.48
WD0973	10.69
WD0974	11.72
WD0975	16
WD0976	12.99
WD0977	10.79
WD0978	8.8
WD0979	9.83
WD0981	12.27
WD0982	9.64
WD0983	11.22
WD0984	9.33
WD0985	11.74
WD0986	13.78
WD0987	11.98
WD0988	13.32
WD0989	9.6
WD0990	12.8
WD0991	11.71
WD0992	11.58
WD0993	11.05
WD0994	12.92
WD0995	10.27
WD0996	10.47
WD0997	8.38
WD1000	9.22
WD1001	9.6
WD1002	10.24
WD1003	9.01
WD1004	11.6
WD1006	10.16
WD1007	8.6
WD1008	9.01
WD1010	9.88
WD1011	10.41
WD1012	14.23
WD1013	12.97
WD1014	10.42
WD1015	13.33
WD1016	13.68
WD1017	12.17
WD1019	12.18
WD1020	16.75
WD1022	10.97
WD1023	13.89
WD1024	13.52
WD1025	14.07
WD1026	9.82
WD1027	14.48
WD1028	14.63
WD1029	17.14
WD1030	14.41
WD1031	12.26
WD1032	11.71
WD1033	NA
WD1034	NA
WD1035	15.2
WD1036	14.17
WD1037	11.42
WD1038	12.34
WD1039	12.42
WD1040	43
WD1041	22
WD1042	15.63
WD1043	17.48
WD1044	14.15
WD1046	8.25
WD1050	11.4
WD1051	15.69
WD1052	NA
WD1054	13.03
WD1055	11.11
WD1056	12.61
WD1057	14.04
WD1060	14.74
WD1061	12.84
WD1062	10.39
WD1064	13.14
WD1065	13.17
WD1066	14.86
WD1067	14.1
WD1068	15.29
WD1069	12.81
WD1070	15.57
WD1072	15.19
WD1074	13.81
WD1075	14.47
WD1076	11.26
WD1078	11.85
WD1079	15.15
WD1082	13.87
WD1083	16.4
WD1084	14.35
WD1086	14.46
WD1087	13.05
WD1088	13.14
WD1089	14.74
WD1090	14.63
WD1091	16.19
WD1092	13.82
WD1093	13.97
WD1094	13.05
WD1095	12.45
WD1096	14.3
WD1097	14.84
WD1098	14.07
WD1099	13.08
WD1100	NA
WD1101	NA
WD1102	14.36
WD1103	16.87
WD1104	NA
WD1105	15.44
WD1106	13.3
WD1108	12.58
WD1109	17.23
WD1110	16.26
WD1111	13.1
WD1112	14.17
WD1113	9.64
WD1115	17.5
WD1116	14.91
WD1118	15.32
WD1119	11.39
WD1120	11.42
WD1121	14.48
WD1122	17.08
WD1123	11.35
WD1124	NA
WD1125	13.66
WD1126	14.21
WD1127	12.75
WD1128	16.09
WD1130	15.41
WD1131	14.21
WD1132	15.45
WD1133	11.98
WD1134	14.18
WD1135	11.79
WD1136	17.47
WD1137	15.42
WD1138	13.73
WD1139	17.35
WD1140	14.03
WD1141	13.1
WD1142	15.1
WD1143	11.81
WD1144	13.6
WD1145	15.92
WD1146	17.4
WD1147	12.87
WD1148	11.58
WD1149	16.91
WD1150	14.79
WD1151	12.58
WD1152	12.51
WD1153	16.38
WD1154	17.56
WD1155	12.84
WD1156	14.31
WD1157	14.39
WD1158	12.07
WD1160	14.24
WD1161	14.21
WD1162	13.2
WD1163	14.93
WD1165	15.56
WD1166	13.55
WD1167	17.15
WD1168	16.37
WD1169	10.98
WD1170	NA
WD1171	13.1
WD1172	11.07
WD1173	16.04
WD1179	16.71
WD1180	12.02
WD1181	33
WD1182	16.47
WD1183	13.24
WD1184	NA
WD1185	17.26
WD1186	14.91
WD1187	12.97
WD1188	10.94
WD1189	NA
WD1190	14.81
WD1192	12.25
WD1193	10.59
WD1194	7.7
WD1195	12.67
WD1197	8.75
WD1199	14.46
WD1201	17.67
WD1202	NA
WD1203	13.78
WD1204	11.38
WD1205	NA
WD1206	12.64
WD1208	NA
WD1209	15.09
WD1210	NA
WD1211	11.59
WD1212	13.25
WD1213	14.94
WD1214	13.35
WD1215	13.44
WD1216	15.92
WD1217	14
WD1218	15.76
WD1219	12.5
WD1220	16.89
WD1221	12.5
WD1222	15.26
WD1223	14.91
WD1224	16.4
WD1225	13.1
WD1227	14.52
WD1228	15.09
WD1229	12.53
WD1230	17.41
WD1231	13.65
WD1232	9.74
WD1233	NA
WD1234	15.12
WD1235	17.62
WD1236	15.4
WD1237	17.48
WD1239	12.16
WD1240	8.93
WD1241	13.34
WD1242	14.55
WD1243	13.36
WD1244	14.53
WD1245	13.37
WD1246	11.82
WD1247	10.48
WD1248	13.73
WD1249	15.98
WD1250	8.35
WD1251	6.8
WD1252	10.7
WD1253	10.9
WD1254	8.28
WD1255	8.11
WD1256	8.82
WD1257	9.89
WD1259	9.99
WD1264	8.62
WD1265	6.82
WD1266	8.8
WD1268	12.11
WD1269	17.01
WD1271	10.95
WD1272	11.23
WD1273	NA
WD1274	15.21
WD1276	15.56
WD1277	13.27
WD1278	9.64
WD1279	11.75
WD1280	13.34
WD1281	9.66
WD1282	9.26
WD1284	9.11
WD1285	23
WD1286	7.89
WD1287	8.7
WD1288	34
WD1289	9.42
WD1291	9
WD1293	13.91
WD1294	12.33
WD1295	12.94
WD1296	12.11
WD1297	9.98
WD1298	13.66
WD1299	7.56
WD1300	NA
WD1301	10.9
WD1302	14.27
WD1303	12.08
WD1304	14.46
WD1305	11.81
WD1306	17.02
WD1307	14.18
WD1308	13.95
WD1309	12.98
WD1310	17.2
WD1311	15.81
WD1312	11.07
WD1313	10.38
WD1314	12.05
WD1315	14.69
WD1316	11.39
WD1318	10.83
WD1320	9.75
WD1321	14.9
WD1322	10.67
WD1324	9.77
WD1325	11.08
WD1326	8.48
WD1327	11.75
WD1329	8
WD1330	15.51
WD1332	11.41
WD1333	8.7
WD1334	9.12
WD1335	8.85
WD1336	10.1
WD1337	9.19
WD1340	10.59
WD1341	9.9
WD1342	10.69
WD1343	11.56
WD1344	6.79
WD1345	12.75
WD1346	9.88
WD1350	9.58
WD1351	11.23
WD1352	10.87
WD1353	10.79
WD1354	11.58
WD1356	10.38
WD1371	8.23
WD1372	10.96
WD1373	9.94
WD1374	12.12
WD1375	11.6
WD1376	9.3
WD1377	9.5
WD1378	14.01
WD1380	10.88
WD1381	11.12
WD1382	14.79
WD1384	12.4
WD1385	21
WD1386	10.98
WD1387	8.76
WD1388	12.32
WD1389	6.59
WD1390	9.57
WD1391	11.62
WD1392	11.79
WD1393	13.6
WD1394	11.37
WD1395	12.49
WD1396	10.12
WD1397	10.92
WD1398	12.33
WD1399	8.86
WD1400	12.49
WD1401	9.94
WD1402	11.17
WD1403	9.98
WD1404	11.11
WD1405	12.14
WD1406	14.15
WD1407	10.88
WD1408	11.47
WD1409	7.66
WD1410	12.76
WD1411	9.67
WD1412	13.63
WD1413	11.25
WD1414	11.39
WD1416	10.86
WD1417	10.39
WD1419	14.05
WD1420	9.55
WD1421	11.73
WD1422	11.6
WD1423	10.16
WD1424	9
WD1425	15.17
WD1426	10.51
WD1427	13.34
WD1430	11.16
WD1431	9.62
WD1432	8.12
WD1434	11.05
WD1435	10.46
WD1437	11.83
WD1438	10.24
WD1439	12.17
WD1441	11.35
WD1442	9.35
WD1443	12.06
WD1444	13.9
WD1445	12.6
WD1446	9.22
WD1447	12.24
WD1448	13.11
WD1449	11.65
WD1450	11.17
WD1451	9.08
WD1452	10.65
WD1453	12.06
WD1454	10.58
WD1455	10.32
WD1456	11.5
WD1457	13.9
WD1458	10.59
WD1459	13.14
WD1461	10.18
WD1462	11.21
WD1463	9.57
WD1464	13.35
WD1465	10.57
WD1466	11.64
WD1467	7.83
WD1468	9.89
WD1469	11.28
WD1470	10.49
WD1471	12.39
WD1472	7.22
WD1473	8.34
WD1474	10.9
WD1475	12.36
WD1476	9.1
WD1477	11.12
WD1478	12.24
WD1480	14.55
WD1481	11.14
WD1482	7.38
WD1483	12.95
WD1484	11.28
WD1485	11.52
WD1486	15.76
WD1487	7.64
WD1488	14.84
WD1489	10.36
WD1490	8.32
WD1491	11.65
WD1492	11.02
WD1493	12.73
WD1494	10.03
WD1495	13.41
WD1496	7.9
WD1497	10.74
WD1498	11.1
WD1499	12.07
WD1502	12.44
WD1503	10.7
WD1504	11.75
WD1506	10.94
WD1507	13.13
WD1508	14.09
WD1510	8
WD1511	9.13
WD1512	11.17
WD1513	13.13
WD1514	14.66
WD1515	11.08
WD1516	10.78
WD1517	11.24
WD1518	11.08
WD1519	10.43
WD1520	10.96
WD1521	12.42
WD1522	11.71
WD1523	12.18
WD1524	12.52
WD1525	12.03
WD1526	10.6
WD1528	8.1
WD1529	9.18
WD1530	11.1
WD1531	11.02
WD1532	12.23
WD1533	13.09
WD1534	10.78
WD1535	12.67
WD1536	12.15
WD1537	11.9
WD1538	10.72
WD1539	10.5
WD1540	11.19
WD1542	13.37
WD1544	10.03
WD1546	11
WD1547	10.03
WD1549	12.76
WD1550	10.43
WD1551	12.27
WD1552	10.35
WD1554	9.86
WD1555	12.38
WD1556	12.37
WD1557	12.98
WD1558	9.76
WD1559	11.12
WD1560	10.41
WD1561	10.66
WD1562	11.09
WD1563	10.88
WD1564	13.5
WD1565	9.77
WD1566	9.7
WD1567	9.4
WD1568	9.92
WD1569	12.86
WD1570	10.69
WD1573	12.51
WD1574	14.49
WD1575	10.41
WD1576	11.57
WD1577	10.82
WD1578	8.55
WD1579	10.28
WD1580	12.61
WD1581	9.6
WD1582	12.3
WD1583	10.38
WD1584	12.56
WD1585	9.15
WD1587	10.11
WD1588	8.26
WD1589	10.15
WD1590	8.71
WD1592	10.46
WD1593	11.36
WD1594	9.74
WD1595	10.41
WD1596	11.21
WD1597	11.64
WD1598	10.28
WD1599	10.82
WD1600	11.44
WD1601	11.12
WD1602	11.16
WD1603	12.51
WD1604	10.76
WD1605	12.03
WD1606	9.92
WD1608	7.87
WD1609	9.4
WD1610	11.14
WD1611	9.74
WD1612	12.21
WD1613	11.45
WD1614	11.29
WD1616	11.91
WD1617	10.84
WD1618	10.41
WD1619	10.78
WD1620	12
WD1621	13.99
WD1622	10.92
WD1623	10.7
WD1624	9.68
WD1625	9.44
WD1628	11.24
WD1629	12.67
WD1630	11.12
WD1631	9.46
WD1632	11.6
WD1633	12.36
WD1634	13.51
WD1635	11.39
WD1636	9.9
WD1637	10.62
WD1638	12.17
WD1639	10.74
WD1640	10.31
WD1641	9.05
WD1642	7.54
WD1643	12.62
WD1644	12.88
WD1645	11.47
WD1648	8.9
WD1650	11.1
WD1652	9.62
WD1653	12.36
WD1654	10.88
WD1655	11.43
WD1656	9.25
WD1657	11.81
WD1659	9.74
WD1660	8.49
WD1661	9.7
WD1662	8.15
WD1663	9.33
WD1664	11.07
WD1665	11.16
WD1666	9.72
WD1667	9.37
WD1668	11.26
WD1669	10.07
WD1670	8.6
WD1673	12.44
WD1675	11.6
WD1676	13.78
WD1677	9.75
WD1678	9.78
WD1679	9.92
WD1680	11.45
WD1681	16.96
WD1682	13.26
WD1683	11.77
WD1684	10.82
WD1685	13.87
WD1686	11
WD1687	9.7
WD1688	10.94
WD1689	NA
WD1690	10.13
WD1691	13.94
WD1692	9.45
WD1693	10.76
WD1694	14.54
WD1695	11.32
WD1697	12.69
WD1703	10.1
WD1704	11.3
WD1705	10.5
WD1706	9.42
WD1707	10.12
WD1708	8.83
WD1709	9.1
WD1710	11.58
WD1711	10.9
WD1712	12.87
WD1713	10.69
WD1714	11.75
WD1715	11.77
WD1716	14.18
WD1717	8.44
WD1719	11.21
WD1720	10.49
WD1721	13.72
WD1723	8.9
WD1724	11.64
WD1725	12.58
WD1726	11.1
WD1727	13.67
WD1728	8.51
WD1729	10.07
WD1730	12.12
WD1731	11.05
WD1732	10.75
WD1733	10
WD1734	10.54
WD1735	11.93
WD1739	12.69
WD1740	11.86
WD1741	10.54
WD1742	14.61
WD1744	13.65
WD1748	9.45
WD1770	9.01
WD1771	9.13
WD1776	10.83
WD1789	6.82
WD1792	9.1
WD1793	8.12
WD1795	11.9
WD1806	11.95
WD1827	9.08
WD1830	9.49
WD1832	12.76
WD1837	8.23
WD1839	10.09
WD1841	10.72
WD1842	8.92
WD1848	11.16
WD1853	9.81
WD1854	10.34
WD1863	10.05
WD1866	10.2
WD1867	11.78
WD1868	11.16
WD1869	7.9
WD1870	8.7
WD1871	7.95
WD1872	7.12
WD1873	12.16
WD1874	9.13
WD1875	9.42
WD1876	9.42
WD1877	8.91
WD1878	6.88
WD1879	8.16
WD1880	9.97
WD1881	11.33
WD1883	10.21
WD1884	12.4
WD1885	9.41
WD1886	8.93
WD1887	13.38
WD1888	11.91
WD1889	11.52
WD1890	10.69
WD1891	10.84
WD1892	9.17
WD1893	10.45
WD1894	8.26
WD1897	7.25
WD1898	12.61
WD1899	12.18
WD1900	10.05
WD1901	9.85
WD1902	10.4
WD1903	11.17
WD1905	10.97
WD1906	9.46
WD1908	13.45
WD1909	9.7
WD1910	10.28
WD1911	11.92
WD1912	15.39
WD1913	10.03
WD1914	9.02
WD1915	11.89
WD1916	7.87
WD1917	9.73
WD1918	8.68
WD1919	13.82
WD1920	8.89
WD1921	11.45
WD1922	13.65
WD1923	12.5
WD1924	10.08
WD1925	9.23
WD1926	10.1
WD1927	12.43
WD1928	10.75
WD1929	11.84
WD1930	12.02
WD1931	9.76
WD1932	15.99
WD1933	9.38
WD1934	9.23
WD1935	8.89
WD1936	9.83
WD1937	8.1
WD1938	9.85
WD1939	7.1
WD1940	9.94
WD1941	9.32
WD1942	8.35
WD1943	10.39
WD1944	11.18
WD1945	9.17
WD1947	9.92
WD1948	12.63
WD1949	9.46
WD1950	9.24
WD1953	9.24
WD1954	9.5
WD1955	10.06
WD1956	9.6
WD1957	11.38
WD1958	11.51
WD1959	10.03
WD1960	10.05
WD1961	9.73
WD1962	9.66
WD1963	11.13
WD1964	9.58
WD1965	9.23
WD1967	9.58
WD1968	10.17
WD1969	11.7
WD1971	12.42
WD1972	10.72
WD1973	11.64
WD1974	12.49
WD1975	12.88
WD1977	9.64
WD1978	11.73
WD1979	10.5
WD1980	10.56
WD1981	12.96
WD1982	9.79
WD1983	11.41
WD1984	8.89
WD1986	13.04
WD1988	9.6
WD1989	10.35
WD1990	9.32
WD1991	10.48
WD1992	9.29
WD1993	9.21
WD1994	8.92
WD1995	11.45
WD1996	8.7
WD1997	11.17
WD1998	10.76
WD1999	9.79
WD2000	9.13
WD2001	8.79
WD2002	10.94
